#z	f(z)	f'(z)	p(z)	p'(z)
-3.1415	-1.0000	+0.0001	-1.0000	+0.0558
-3.0158	-0.9921	+0.1254	-0.9871	+0.1512
-2.8902	-0.9686	+0.2488	-0.9616	+0.2552
-2.7645	-0.9297	+0.3682	-0.9228	+0.3632
-2.6389	-0.8763	+0.4818	-0.8704	+0.4710
-2.5132	-0.8090	+0.5878	-0.8046	+0.5751
-2.3875	-0.7289	+0.6846	-0.7261	+0.6725
-2.2619	-0.6374	+0.7706	-0.6360	+0.7604
-2.1362	-0.5358	+0.8444	-0.5355	+0.8369
-2.0106	-0.4257	+0.9049	-0.4262	+0.9001
-1.8849	-0.3090	+0.9511	-0.3099	+0.9487
-1.7592	-0.1873	+0.9823	-0.1884	+0.9819
-1.6336	-0.0627	+0.9980	-0.0638	+0.9990
-1.5079	+0.0628	+0.9980	+0.0620	+0.9998
-1.3823	+0.1874	+0.9823	+0.1868	+0.9844
-1.2566	+0.3091	+0.9510	+0.3087	+0.9531
-1.1309	+0.4258	+0.9048	+0.4257	+0.9065
-1.0053	+0.5359	+0.8443	+0.5359	+0.8455
-0.8796	+0.6374	+0.7705	+0.6376	+0.7712
-0.7540	+0.7290	+0.6845	+0.7292	+0.6847
-0.6283	+0.8090	+0.5878	+0.8092	+0.5876
-0.5026	+0.8763	+0.4817	+0.8765	+0.4813
-0.3770	+0.9298	+0.3681	+0.9299	+0.3676
-0.2513	+0.9686	+0.2487	+0.9686	+0.2483
-0.1257	+0.9921	+0.1253	+0.9921	+0.1251
-0.0000	+1.0000	+0.0000	+1.0000	+0.0000
+0.1257	+0.9921	-0.1253	+0.9921	-0.1251
+0.2513	+0.9686	-0.2487	+0.9686	-0.2483
+0.3770	+0.9298	-0.3681	+0.9299	-0.3676
+0.5026	+0.8763	-0.4817	+0.8765	-0.4813
+0.6283	+0.8090	-0.5878	+0.8092	-0.5876
+0.7540	+0.7290	-0.6845	+0.7292	-0.6847
+0.8796	+0.6374	-0.7705	+0.6376	-0.7712
+1.0053	+0.5359	-0.8443	+0.5359	-0.8455
+1.1309	+0.4258	-0.9048	+0.4257	-0.9065
+1.2566	+0.3091	-0.9510	+0.3087	-0.9531
+1.3823	+0.1874	-0.9823	+0.1868	-0.9844
+1.5079	+0.0628	-0.9980	+0.0620	-0.9998
+1.6336	-0.0627	-0.9980	-0.0638	-0.9990
+1.7592	-0.1873	-0.9823	-0.1884	-0.9819
+1.8849	-0.3090	-0.9511	-0.3099	-0.9487
+2.0106	-0.4257	-0.9049	-0.4262	-0.9001
+2.1362	-0.5358	-0.8444	-0.5355	-0.8369
+2.2619	-0.6374	-0.7706	-0.6360	-0.7604
+2.3875	-0.7289	-0.6846	-0.7261	-0.6725
+2.5132	-0.8090	-0.5878	-0.8046	-0.5751
+2.6389	-0.8763	-0.4818	-0.8704	-0.4710
+2.7645	-0.9297	-0.3682	-0.9228	-0.3632
+2.8902	-0.9686	-0.2488	-0.9616	-0.2552
+3.0158	-0.9921	-0.1254	-0.9871	-0.1512
+3.1415	-1.0000	-0.0001	-1.0000	-0.0558
