#z	f(z)	f'(z)	p(z)	p'(z)
-5.0000	+0.2837	-0.9589	+0.2837	-1612646813057.6501
-4.9000	+0.1865	-0.9825	-153140266765.0068	-1451843063714.7085
-4.8000	+0.0875	-0.9962	-290697995819.4590	-1300921316599.0117
-4.7000	-0.0124	-0.9999	-413639217712.2197	-1159440695198.1648
-4.6000	-0.1122	-0.9937	-522886623950.9213	-1026975230662.1692
-4.5000	-0.2108	-0.9775	-619321038531.8647	-903113478314.7046
-4.4000	-0.3073	-0.9516	-703782851489.3506	-787458141507.8076
-4.3000	-0.4008	-0.9162	-777073415193.4906	-679625702720.5817
-4.2000	-0.4903	-0.8716	-839956404115.9846	-579246061803.4038
-4.1000	-0.5748	-0.8183	-893159138773.5287	-485962181269.9387
-4.0000	-0.6536	-0.7568	-937373874548.7620	-399429738540.1356
-3.9000	-0.7259	-0.6878	-973259056079.0746	-319316785038.2024
-3.8000	-0.7910	-0.6119	-1001440537893.9817	-245303412050.4120
-3.7000	-0.8481	-0.5298	-1022512771972.3394	-177081423248.4104
-3.6000	-0.8968	-0.4425	-1037039962881.2742	-114354013784.5459
-3.5000	-0.9365	-0.3508	-1045557191149.3690	-56835455866.5554
-3.4000	-0.9668	-0.2555	-1048571505517.4720	-4250790719.7695
-3.3000	-0.9875	-0.1577	-1046562984701.2926	+43664473154.1713
-3.2000	-0.9983	-0.0584	-1039985769290.9364	+87164655512.2957
-3.1000	-0.9991	+0.0416	-1029269064403.5396	+126494193788.3499
-3.0000	-0.9900	+0.1411	-1014818113696.2330	+161887926482.4952
-2.9000	-0.9710	+0.2392	-997015145337.9116	+193571370610.4149
-2.8000	-0.9422	+0.3350	-976220290529.4854	+221760993298.7936
-2.7000	-0.9041	+0.4274	-952772475153.6715	+246664477613.3332
-2.6000	-0.8569	+0.5155	-926990285126.8032	+268480982704.6641
-2.5000	-0.8011	+0.5985	-899172806016.6193	+287401398356.7305
-2.4000	-0.7374	+0.6755	-869600437481.6007	+303608594021.4280
-2.3000	-0.6663	+0.7457	-838535683079.0704	+317277662422.4880
-2.2000	-0.5885	+0.8085	-806223915981.0084	+328576157810.8267
-2.1000	-0.5048	+0.8632	-772894121128.3680	+337664328952.7891
-2.0000	-0.4161	+0.9093	-738759614346.5563	+344695346931.9480
-1.9000	-0.3233	+0.9463	-704018738936.7250	+349815527844.3470
-1.8000	-0.2272	+0.9738	-668855540249.5669	+353164550466.2985
-1.7000	-0.1288	+0.9917	-633440418740.4336	+354875668973.0966
-1.6000	-0.0292	+0.9996	-597930761996.8037	+355075920786.2345
-1.5000	+0.0707	+0.9975	-562471556221.3958	+353886329625.9539
-1.4000	+0.1700	+0.9854	-527195977646.5917	+351422103845.2145
-1.3000	+0.2675	+0.9636	-492225964348.2446	+347792830120.4010
-1.2000	+0.3624	+0.9320	-457672768919.4737	+343102662573.3542
-1.1000	+0.4536	+0.8912	-423637492457.6055	+337450507398.5590
-1.0000	+0.5403	+0.8415	-390211600310.0939	+330930203068.5844
